################################## JSON file used at runtime    ###################################################################
### /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/certifiedGoodDataJson/certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/e/eipearso/public/plotsToShare/fr2D_2018.root	- - - -1
### Preliminary cut values: TriggerSFFileName   /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/wrAnalysis_triggerScaleFactors/2018_HEEPv70-2018Prompt/egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0          33273.0000          33271.0000              0.9999          4.2502e-05          1.1982e-02          6.5294e-05
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0          33271.0000          33271.0000              1.0000          0.0000e+00          1.1982e-02          6.5294e-05
 18                           PassNEle              0.0000              1.0000                   -                   -                   1          33271.0000          33271.0000              1.0000          0.0000e+00          1.1982e-02          6.5294e-05
 19                          PassNMuon              0.0000              1.0000                   -                   -                   1          33271.0000          33266.0000              0.9998          6.7203e-05          1.1980e-02          6.5289e-05
 20                    nEle_hltMatched                -inf                +inf                   -                   -                   1          33266.0000          33266.0000              1.0000          0.0000e+00          1.1980e-02          6.5289e-05
 21                    nJet_hltMatched                -inf                +inf                   -                   -                   1          33266.0000          33266.0000              1.0000          0.0000e+00          1.1980e-02          6.5289e-05
 22                            Ele1_Pt             50.0000                +inf                   -                   -                   1          33266.0000          10570.0000              0.3177          2.5528e-03          3.8065e-03          3.6954e-05
 23                           Ele1_Eta             -2.4000              2.4000                   -                   -                   1          10570.0000          10344.0000              0.9786          1.4070e-03          3.7251e-03          3.6559e-05
 24                           Ele1_Phi             -1.5708             -0.8727                   -                   -                   1          10344.0000           1165.0000              0.1126          3.1083e-03          4.1955e-04          1.2289e-05
 25                            Ele2_Pt             50.0000                +inf                   -                   -                   1           1165.0000            240.0000              0.2060          1.1849e-02          8.6430e-05          5.5788e-06
 26                           Ele2_Eta                -inf                +inf                   -                   -                   1            240.0000            240.0000              1.0000          0.0000e+00          8.6430e-05          5.5788e-06
 27                           Ele2_Phi                -inf                +inf                   -                   -                   1            240.0000            240.0000              1.0000          0.0000e+00          8.6430e-05          5.5788e-06
 28                               nJet                -inf                +inf                   -                   -                   1            240.0000            240.0000              1.0000          0.0000e+00          8.6430e-05          5.5788e-06
 29                            Jet1_Pt             50.0000                +inf                   -                   -                   1            240.0000            113.0000              0.4708          3.2220e-02          4.0694e-05          3.8281e-06
 30                           Jet1_Eta             -2.4000              2.4000                   -                   -                   1            113.0000            113.0000              1.0000          0.0000e+00          4.0694e-05          3.8281e-06
 31                           Jet1_Phi                -inf                +inf                   -                   -                   1            113.0000            113.0000              1.0000          0.0000e+00          4.0694e-05          3.8281e-06
 32                            Jet2_Pt             50.0000                +inf                   -                   -                   1            113.0000             28.0000              0.2478          4.0614e-02          1.0084e-05          1.9056e-06
 33                           Jet2_Eta             -2.4000              2.4000                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 34                           Jet2_Phi                -inf                +inf                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 35                            Jet3_Pt                -inf                +inf                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 36                           Jet3_Eta             -2.4000              2.4000                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 37                           Jet3_Phi                -inf                +inf                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 38                        DR_Ele1Jet1                -inf                +inf                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 39                        DR_Ele1Jet2                -inf                +inf                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 40                        DR_Ele2Jet1                -inf                +inf                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 41                        DR_Ele2Jet2                -inf                +inf                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 42                        DR_Jet1Jet2                -inf                +inf                   -                   -                   1             28.0000             28.0000              1.0000          0.0000e+00          1.0084e-05          1.9056e-06
 43                            sT_eejj            300.0000                +inf                   -                   -                   1             28.0000             27.0000              0.9643          3.5071e-02          9.7234e-06          1.8713e-06
 44                      sT_eejj_bkgCR            300.0000                +inf                   -                   -                   1             27.0000             27.0000              1.0000          0.0000e+00          9.7234e-06          1.8713e-06
 45                            Pt_e1e2             70.0000                +inf                   -                   -                   1             27.0000             26.0000              0.9630          3.6345e-02          9.3633e-06          1.8363e-06
 46                             M_e1e2             50.0000                +inf                   -                   -                   1             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 47                             M_e1j1                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 48                             M_e1j2                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 49                             M_e2j1                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 50                             M_e2j2                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 51                              Masym                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 52                             MejMin                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 53                             MejMax                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 54                              Meejj                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 55                  trainingSelection                -inf                +inf                   -                   -                   1             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 56                     PFMET_Type1_Pt                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 57                    PFMET_Type1_Phi                -inf                +inf                   -                   -                   0             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 58                       M_e1e2_bkgCR             50.0000                +inf                   -                   -                   1             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 59                       preselection                -inf                +inf                   -                   -                   2             26.0000             26.0000              1.0000          0.0000e+00          9.3633e-06          1.8363e-06
 60                        sT_eejj_opt                -inf                +inf                   -                   -                   1             26.0000          0.0000e+00          0.0000e+00                -nan          0.0000e+00                -nan
 61                         M_e1e2_opt                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 62                        Mej_min_opt                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 63                      sT_eejj_LQ300            475.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 64                       M_e1e2_LQ300            225.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 65                     min_M_ej_LQ300            235.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 66                      sT_eejj_LQ400            625.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 67                       M_e1e2_LQ400            235.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 68                     min_M_ej_LQ400            330.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 69                      sT_eejj_LQ500            770.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 70                       M_e1e2_LQ500            250.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 71                     min_M_ej_LQ500            420.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 72                      sT_eejj_LQ600            905.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 73                       M_e1e2_LQ600            265.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 74                     min_M_ej_LQ600            500.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 75                      sT_eejj_LQ700           1040.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 76                       M_e1e2_LQ700            280.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 77                     min_M_ej_LQ700            575.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 78                      sT_eejj_LQ800           1170.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 79                       M_e1e2_LQ800            295.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 80                     min_M_ej_LQ800            640.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 81                      sT_eejj_LQ900           1295.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 82                       M_e1e2_LQ900            315.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 83                     min_M_ej_LQ900            700.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 84                     sT_eejj_LQ1000           1415.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 85                      M_e1e2_LQ1000            330.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 86                    min_M_ej_LQ1000            750.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 87                     sT_eejj_LQ1100           1530.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 88                      M_e1e2_LQ1100            350.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 89                    min_M_ej_LQ1100            790.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 90                     sT_eejj_LQ1200           1585.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 91                      M_e1e2_LQ1200            360.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 92                    min_M_ej_LQ1200            805.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 93                     sT_eejj_LQ1300           1585.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 94                      M_e1e2_LQ1300            360.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 95                    min_M_ej_LQ1300            805.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 96                     sT_eejj_LQ1400           1585.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 97                      M_e1e2_LQ1400            360.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 98                    min_M_ej_LQ1400            805.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 99                     sT_eejj_LQ1500           1585.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
100                      M_e1e2_LQ1500            360.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
101                    min_M_ej_LQ1500            805.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
102                     sT_eejj_LQ1600           1585.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
103                      M_e1e2_LQ1600            360.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
104                    min_M_ej_LQ1600            805.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
105                     sT_eejj_LQ1700           1585.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
106                      M_e1e2_LQ1700            360.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
107                    min_M_ej_LQ1700            805.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
108                     sT_eejj_LQ1800           1585.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
109                      M_e1e2_LQ1800            360.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
110                    min_M_ej_LQ1800            805.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
111                     sT_eejj_LQ1900           1585.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
112                      M_e1e2_LQ1900            360.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
113                    min_M_ej_LQ1900            805.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
114                     sT_eejj_LQ2000           1585.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
115                      M_e1e2_LQ2000            360.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
116                    min_M_ej_LQ2000            805.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
